fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin
2020-12-01,9001D,REINOSA,CANTABRIA,870,3.9,1.7,-3.2,03:00,11.0,12:40,30.0,3.1,13.1,21:50,926.3,0,919.8,23
2020-12-02,9001D,REINOSA,CANTABRIA,870,4.2,0.0,2.5,21:40,5.9,00:40,33.0,3.3,10.8,10:50,920.3,0,918.1,-2
2020-12-03,9001D,REINOSA,CANTABRIA,870,1.7,3.5,-2.0,07:40,5.4,13:00,21.0,2.8,13.3,15:40,918.1,0,895.9,24
2020-12-04,9001D,REINOSA,CANTABRIA,870,1.2,1.0,-2.4,05:10,4.8,12:30,21.0,1.4,7.5,13:00,897.8,24,892.7,15
2020-12-05,9001D,REINOSA,CANTABRIA,870,-0.6,3.3,-5.3,05:00,4.1,14:00,20.0,1.1,6.1,02:00,905.7,23,897.2,1
2020-12-06,9001D,REINOSA,CANTABRIA,870,1.2,12.4,-0.4,00:40,2.7,13:40,15.0,1.1,8.3,04:40,908.0,11,904.9,24
2020-12-07,9001D,REINOSA,CANTABRIA,870,3.8,10.9,-1.6,06:40,9.3,14:00,28.0,2.2,13.3,16:20,905.0,0,901.0,14
2020-12-08,9001D,REINOSA,CANTABRIA,870,2.6,7.0,0.3,04:50,5.0,13:50,33.0,3.6,13.9,06:20,915.0,23,901.6,1
2020-12-09,9001D,REINOSA,CANTABRIA,870,3.8,0.7,1.2,08:00,6.3,14:00,23.0,1.1,11.7,21:20,917.6,11,910.0,24
2020-12-10,9001D,REINOSA,CANTABRIA,870,7.4,6.5,3.4,07:50,11.5,13:30,19.0,2.2,11.4,23:30,910.4,11,906.0,24
2020-12-11,9001D,REINOSA,CANTABRIA,870,7.2,0.3,1.0,23:59,13.4,14:40,20.0,1.4,9.4,00:20,909.3,24,904.4,12
2020-12-12,9001D,REINOSA,CANTABRIA,870,5.2,0.0,-1.4,06:40,11.9,13:20,32.0,0.6,7.2,14:20,916.3,20,908.9,1
2020-12-13,9001D,REINOSA,CANTABRIA,870,5.0,1.4,-2.1,06:10,12.2,15:40,17.0,3.6,15.6,15:20,915.3,0,909.9,15
2020-12-14,9001D,REINOSA,CANTABRIA,870,8.6,8.1,6.3,22:40,10.8,14:40,20.0,4.2,16.4,11:00,911.5,0,906.5,14
2020-12-15,9001D,REINOSA,CANTABRIA,870,6.4,0.0,3.7,07:50,9.0,14:20,17.0,4.2,19.2,23:00,914.1,11,908.7,0
2020-12-16,9001D,REINOSA,CANTABRIA,870,6.2,10.0,4.0,22:50,8.5,12:30,17.0,5.6,25.6,05:00,918.8,24,906.6,9
2020-12-17,9001D,REINOSA,CANTABRIA,870,4.2,0.0,-1.6,05:40,10.1,14:30,20.0,1.4,8.1,16:40,923.1,11,918.7,0
2020-12-18,9001D,REINOSA,CANTABRIA,870,3.8,1.7,0.7,08:00,7.0,21:50,24.0,3.6,15.0,22:30,922.3,0,915.3,24
2020-12-19,9001D,REINOSA,CANTABRIA,870,4.4,0.0,-0.6,23:40,9.4,12:30,23.0,3.9,12.5,02:50,919.2,24,914.1,3
2020-12-20,9001D,REINOSA,CANTABRIA,870,2.8,0.1,-3.6,07:10,9.2,23:59,15.0,2.8,13.6,18:40,923.4,11,918.9,0
2020-12-21,9001D,REINOSA,CANTABRIA,870,8.3,0.0,3.8,23:40,12.8,14:00,24.0,3.3,14.7,02:10,925.5,22,921.6,1
2020-12-22,9001D,REINOSA,CANTABRIA,870,8.5,0.1,3.4,03:30,13.6,14:20,20.0,5.6,15.3,12:30,925.5,0,920.6,22
2020-12-23,9001D,REINOSA,CANTABRIA,870,8.2,0.0,4.1,23:59,12.2,03:10,21.0,3.6,13.1,03:10,923.4,24,918.7,4
2020-12-24,9001D,REINOSA,CANTABRIA,870,2.4,6.5,-2.6,07:40,7.3,11:30,34.0,3.9,11.1,13:20,925.7,24,922.9,14
2020-12-25,9001D,REINOSA,CANTABRIA,870,1.4,2.3,-0.1,16:30,3.0,13:20,36.0,1.4,9.4,01:10,930.2,19,925.6,0
2020-12-26,9001D,REINOSA,CANTABRIA,870,-0.4,0.0,-5.5,23:59,4.8,14:30,32.0,3.3,8.9,05:10,929.7,0,921.0,24
2020-12-27,9001D,REINOSA,CANTABRIA,870,-0.1,7.9,-5.5,00:50,5.3,16:30,19.0,2.8,17.2,12:20,921.0,0,893.5,-2
2020-12-28,9001D,REINOSA,CANTABRIA,870,2.8,4.7,-1.3,05:50,6.9,14:40,,3.6,,,901.7,24,893.5,0
2020-12-29,9001D,REINOSA,CANTABRIA,870,1.4,0.8,-2.2,07:30,5.0,11:50,,,,,909.7,23,899.9,5
2020-12-30,9001D,REINOSA,CANTABRIA,870,-0.5,0.3,-3.6,20:50,2.6,13:30,29.0,1.1,10.6,01:00,915.1,11,909.3,0
2020-12-31,9001D,REINOSA,CANTABRIA,870,1.7,5.1,-2.4,00:10,5.8,12:40,19.0,3.1,12.5,10:30,913.4,0,907.6,14
