"period","site","variable","mean(2019).vs.mean(2020)","std(2019).vs.std(2020)","mean(2015-2019).vs.mean(2020)","std(2015-2019).vs.std(2020)"
"pre.lckdwn","es1580a","no2",31.5891391999444,-2.4522165865215,-2.30222320426414,4.11629225212427
"lckdwn","es1580a","no2",-41.1167148198834,10.3910730445416,-47.4038340209168,18.9893520455782
"end.lckdwn","es1580a","no2",-48.5397196261682,-15.2318332188306,-51.9563735514656,3.8166606148327
"start.pos.lckdwn","es1580a","no2",-23.1574897547671,-0.618764960521162,-39.3374757583773,16.0331914917222
"end.pos.lckdwn","es1580a","no2",-45.8816935888458,-0.257706660442517,-49.085217546671,9.21493808065996
"start.2.lckdwn","es1580a","no2",-64.5448511320175,4.23250686418734,-67.9913571329092,8.1259287765096
"pre.lckdwn","es1580a","no",22.7435920490329,35.4588269956442,13.3721706631655,40.2500632082271
"lckdwn","es1580a","no",-59.6613527737928,-1.32273734908417,-59.080876856011,8.91570876260077
"end.lckdwn","es1580a","no",-48.1132075471698,-23.9456934377718,-33.1442463533225,0.99760095654547
"start.pos.lckdwn","es1580a","no",-57.8530019878648,6.68461354740397,-50.1639976082656,20.1528679127182
"end.pos.lckdwn","es1580a","no",-41.1530307249524,1.07966246344086,-43.9967534136569,10.2187959733037
"start.2.lckdwn","es1580a","no",-58.2290304853242,2.72559829490794,-64.9933684115859,18.3175229817695
"pre.lckdwn","es1580a","o3",NA,NA,NA,NA
"lckdwn","es1580a","o3",NA,NA,NA,NA
"end.lckdwn","es1580a","o3",NA,NA,NA,NA
"start.pos.lckdwn","es1580a","o3",NA,NA,NA,NA
"end.pos.lckdwn","es1580a","o3",NA,NA,NA,NA
"start.2.lckdwn","es1580a","o3",NA,NA,NA,NA
"pre.lckdwn","es1580a","pm10",23.8770138508896,16.5437488623691,50.7507556990447,43.8186425391216
"lckdwn","es1580a","pm10",-14.2393280397242,7.92398452248219,-2.17144877271909,24.9011241246047
"end.lckdwn","es1580a","pm10",-42.7652483918469,-0.302249257611054,-10.5576220559938,8.69393062083281
"start.pos.lckdwn","es1580a","pm10",3.96246630261976,-3.8202646518433,11.8425585095601,17.8791117966297
"end.pos.lckdwn","es1580a","pm10",-4.86157522622889,4.31629219244429,4.9029429852224,20.3520163757929
"start.2.lckdwn","es1580a","pm10",-9.70453555926849,21.5872914762739,-11.5081941899212,32.7041603653046
"pre.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"end.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"start.pos.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"end.pos.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
"start.2.lckdwn","es1580a","pm2.5",NA,NA,NA,NA
